,movieCd,movieNm,movieNmEn,openDt,typeNm,showTm,nations,actors,companys,audits,directors,genres
122,20218240,여고괴담 여섯번째 이야기 : 모교,WHISPERING CORRIDORS 6 : THE HUMMING,20210617,장편,108,한국,10004466|20129449|20231368|20375675|20146540|20333255|20376367|20347312|20195074|10004569|20186171|10002548|10057435|20376388|20376406|20132409|20376408|20376368|20255351|20365155|20338076|10089509|20336035|20376409|10026669|20376369|20376410|20376370|20371952|20374699|20361997|20166879|20376371|20343845|20376411|20376412|20181504,20111211|20063188,2021-MF01128 |15세이상관람가,20111398,미스터리|공포(호러)
123,20119427,메카닉,The Mechanic,20110224,장편,92,미국,10063676|10031197,20114672,2011-F40|청소년관람불가,10034365,드라마|액션|스릴러
124,20126413,페이스 블라인드,Faces In The Crowd,20120621,장편,103,미국|프랑스|캐나다,10027885|10069496|10033933|20170154,20124055,2012-F347|청소년관람불가,10069553,범죄|미스터리|스릴러
125,20156007,인페르노,Inferno,20161019,장편,121,미국|일본|터키|헝가리,10081113|10083291|10031197|10055253|20126651|10034318|10042912,20100603,2016-MF01370|15세이상관람가,10018065,미스터리|스릴러
126,20206865,애프터 웨딩 인 뉴욕,After the Wedding,20200423,장편,111,영국,10027310|10069498|10033705,20100631,2020-MF00656|12세이상관람가,20115325,드라마
127,20209408,와일드 시티,The Corrupted,20200617,장편,102,영국,20173124|10081554|10008162,20141088,2020-MF01149 |청소년관람불가,20172660,액션
128,20060050,무인 곽원갑,Fearless,20060323,장편,105,중국,10056618|10007153,20100269,2006-F047|12세관람가,10052219,액션
129,20060144,크립,Creep,20060615,장편,84,영국|독일,10084370|10054082|10037440,20100335,2006-FV56|18세관람가,10077571|10040038,스릴러
130,20191781,북클럽,Book Club,20190620,장편,103,미국,10009818|10063927|10046052|10025721|10075096|10045073,20100631,2019-MF00967|15세이상관람가,10038261,코미디
132,20173694,지오스톰,Geostorm,20171019,장편,108,미국,10074897|10062791|10070946|10045566|10046052,20100043,2017-MF01639|12세이상관람가|2017-MF01638|12세이상관람가,10013584|10010219,액션|SF|스릴러
